Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
IMDB-TVDB|Title|Albert|WMD|Scarce|2430132|16|3|0.24|18|4|0.25|0.06|0.909|0.242|0.382|0.950|44|0.542|0.255|0.346|0.950|56|0.644|0.277|0.387|0.950|704|0.463|0.118|0.188|0.950|3100|0.723|0.389|0.506|0.950|24|0.857|0.369|0.516|0.950|31|0.821|0.424|0.559|0.950|185|0.783|0.422|0.548|0.950|49|Right
IMDB-TVDB|Name|FastText|Cosine Similarity|Scarce|22295400|13|2|0.76|14|2|0.74|0.56|0.759|0.299|0.429|0.950|137|0.514|0.354|0.420|0.950|204|0.441|0.239|0.310|0.950|783|0.384|0.123|0.186|0.950|2911|0.532|0.367|0.434|0.950|174|0.532|0.367|0.434|0.950|159|0.532|0.367|0.434|0.950|1166|0.536|0.369|0.437|0.950|249|Right
IMDB-TVDB|Name|FastText|Euclidean Distance|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.762|0.299|0.430|0.450|134|0.520|0.355|0.422|0.450|202|0.437|0.241|0.310|0.450|817|0.467|0.163|0.242|0.900|2919|0.527|0.368|0.434|0.450|180|0.532|0.368|0.436|0.450|150|0.530|0.368|0.435|0.450|1153|0.535|0.367|0.435|0.500|266|Right
IMDB-TVDB|Name|FastText|WMD|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.000|0.000|0.000|0.000|4571|0.012|0.030|0.017|0.950|7231|0.044|0.160|0.069|0.950|860|0.037|0.132|0.058|0.900|3121|0.051|0.185|0.080|0.950|1755|0.229|0.190|0.208|0.950|7091|0.203|0.363|0.260|0.950|15842|0.101|0.363|0.158|0.950|40356|Right
IMDB-TVDB|Name|Albert|Cosine Similarity|Scarce|21658825|13|2|0.76|14|2|0.74|0.54|0.444|0.004|0.007|0.950|770|0.009|0.014|0.011|0.800|7078|0.053|0.181|0.083|0.950|738|0.037|0.132|0.057|0.750|3265|0.059|0.200|0.091|0.950|286|0.278|0.214|0.242|0.950|751|0.222|0.370|0.278|0.950|2557|0.111|0.371|0.171|0.950|2085|Right
IMDB-TVDB|Name|Albert|Euclidean Distance|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.759|0.299|0.429|0.950|124|0.523|0.357|0.424|0.900|191|0.444|0.235|0.307|0.950|689|0.382|0.140|0.205|0.350|3210|0.535|0.366|0.434|0.900|149|0.536|0.365|0.434|0.950|165|0.536|0.365|0.434|0.950|1422|0.539|0.368|0.438|0.900|220|Right
IMDB-TVDB|Name|Albert|WMD|Scarce|22384140|13|2|0.76|14|2|0.74|0.56|0.558|0.121|0.199|0.950|129|0.124|0.174|0.145|0.950|330|0.151|0.215|0.177|0.950|738|0.108|0.113|0.111|0.950|3295|0.182|0.295|0.225|0.950|166|0.344|0.272|0.304|0.950|173|0.304|0.366|0.332|0.950|1087|0.235|0.366|0.286|0.950|253|Right
TMDB-TVDB|Title|FastText|Cosine Similarity|Scarce|5012000|16|3|0.43|18|4|0.25|0.11|0.622|0.561|0.590|0.950|42|0.518|0.579|0.547|0.950|93|0.504|0.419|0.458|0.900|971|0.385|0.188|0.253|0.900|2996|0.557|0.628|0.590|0.950|44|0.633|0.618|0.626|0.950|63|0.604|0.637|0.620|0.900|368|0.553|0.624|0.586|0.950|83|Right
TMDB-TVDB|Title|FastText|Euclidean Distance|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.651|0.567|0.606|0.950|40|0.556|0.581|0.568|0.850|89|0.542|0.399|0.460|0.950|962|0.458|0.202|0.280|0.750|3119|0.580|0.611|0.595|0.950|43|0.653|0.601|0.626|0.950|41|0.639|0.610|0.624|0.950|269|0.579|0.610|0.594|0.950|57|Right
TMDB-TVDB|Title|FastText|WMD|Scarce|5064069|16|3|0.43|18|4|0.25|0.11|0.000|0.000|0.000|0.000|1251|0.063|0.079|0.070|0.950|1379|0.145|0.219|0.174|0.950|991|0.111|0.196|0.142|0.800|3011|0.263|0.466|0.336|0.900|896|0.543|0.431|0.480|0.950|947|0.493|0.612|0.546|0.950|2504|0.346|0.613|0.442|0.900|7096|Left
